Position X,Position Y,Position Z
419550.000,4805560.000,1460.303
419550.000,4805520.000,1463.094
419550.000,4805510.000,1463.730
419550.000,4805530.000,1462.591
419550.000,4805550.000,1460.303
419550.000,4805540.000,1462.279
419550.000,4805690.000,1460.303
419550.000,4805680.000,1460.303
419550.000,4805700.000,1460.303
419550.000,4805700.432,1460.303
419550.000,4805289.123,1500.356
419550.000,4805670.000,1460.303
419550.000,4805630.000,1460.303
419550.000,4805620.000,1460.303
419550.000,4805640.000,1460.303
419550.000,4805660.000,1460.303
419550.000,4805650.000,1460.303
419550.000,4805360.000,1491.682
419550.000,4805350.000,1492.245
419550.000,4805370.000,1489.698
419550.000,4805390.000,1484.474
419550.000,4805380.000,1486.849
419550.000,4805340.000,1494.451
419550.000,4805300.000,1497.285
419550.000,4805290.000,1500.324
419550.000,4805310.000,1497.310
419550.000,4805330.000,1495.732
419550.000,4805320.000,1496.740
419550.000,4805470.000,1468.920
419550.000,4805460.000,1470.404
419550.000,4805480.000,1467.224
419550.000,4805500.000,1464.636
419550.000,4805490.000,1465.842
419550.000,4805450.000,1471.834
419550.000,4805410.000,1479.417
419550.000,4805400.000,1481.714
419550.000,4805420.000,1477.925
419550.000,4805440.000,1473.812
419550.000,4805430.000,1476.266
419550.708,4805289.292,1500.592
419553.662,4805290.000,1501.437
419557.720,4805702.280,1460.303
419558.776,4805291.224,1502.618
419560.000,4805580.000,1460.303
419560.000,4805570.000,1460.303
419560.000,4805590.000,1460.303
419560.000,4805610.000,1460.303
419560.000,4805600.000,1460.303
419560.000,4805530.000,1463.750
419560.000,4805520.000,1464.888
419560.000,4805540.000,1463.682
419560.000,4805560.000,1460.303
419560.000,4805550.000,1462.107
419560.000,4805620.000,1460.303
419560.000,4805690.000,1460.303
419560.000,4805680.000,1460.303
419560.000,4805700.000,1460.303
419560.000,4805702.826,1460.303
419560.000,4805291.518,1503.050
419560.000,4805640.000,1460.303
419560.000,4805630.000,1460.303
419560.000,4805650.000,1460.303
419560.000,4805670.000,1460.303
419560.000,4805660.000,1460.303
419560.000,4805510.000,1465.779
419560.000,4805360.000,1493.995
419560.000,4805350.000,1495.417
419560.000,4805370.000,1492.136
419560.000,4805390.000,1486.008
419560.000,4805380.000,1489.123
419560.000,4805310.000,1500.711
419560.000,4805300.000,1501.307
419560.000,4805320.000,1499.589
419560.000,4805340.000,1497.042
419560.000,4805330.000,1498.248
419560.000,4805400.000,1483.682
419560.000,4805470.000,1471.044
419560.000,4805460.000,1472.685
419560.000,4805480.000,1470.402
419560.000,4805500.000,1465.948
419560.000,4805490.000,1467.919
419560.000,4805420.000,1479.901
419560.000,4805410.000,1481.641
419560.000,4805430.000,1478.795
419560.000,4805450.000,1474.550
419560.000,4805440.000,1477.211
419565.788,4805704.212,1460.303
419566.844,4805293.156,1504.840
419570.000,4805580.000,1465.042
419570.000,4805570.000,1465.467
419570.000,4805590.000,1464.592
419570.000,4805610.000,1460.303
419570.000,4805600.000,1462.615
419570.000,4805530.000,1466.998
419570.000,4805520.000,1467.821
419570.000,4805540.000,1466.490
419570.000,4805560.000,1465.008
419570.000,4805550.000,1465.021
419570.000,4805620.000,1460.303
419570.000,4805690.000,1460.303
419570.000,4805680.000,1460.303
419570.000,4805700.000,1460.303
419570.000,4805705.221,1460.303
419570.000,4805293.912,1506.080
419570.000,4805640.000,1460.303
419570.000,4805630.000,1460.303
419570.000,4805650.000,1460.303
419570.000,4805670.000,1460.303
419570.000,4805660.000,1460.303
419570.000,4805510.000,1467.948
419570.000,4805360.000,1496.371
419570.000,4805350.000,1498.272
419570.000,4805370.000,1494.270
419570.000,4805390.000,1488.435
419570.000,4805380.000,1491.373
419570.000,4805310.000,1504.250
419570.000,4805300.000,1505.474
419570.000,4805320.000,1502.828
419570.000,4805340.000,1500.000
419570.000,4805330.000,1501.245
419570.000,4805400.000,1486.358
419570.000,4805470.000,1475.506
419570.000,4805460.000,1476.761
419570.000,4805480.000,1473.727
419570.000,4805500.000,1468.321
419570.000,4805490.000,1471.412
419570.000,4805420.000,1483.271
419570.000,4805410.000,1485.198
419570.000,4805430.000,1482.164
419570.000,4805450.000,1478.045
419570.000,4805440.000,1480.308
419573.856,4805706.144,1460.303
419574.912,4805295.088,1507.799
419580.000,4805580.000,1466.740
419580.000,4805570.000,1467.498
419580.000,4805590.000,1466.470
419580.000,4805610.000,1460.303
419580.000,4805600.000,1465.139
419580.000,4805530.000,1469.076
419580.000,4805520.000,1468.909
419580.000,4805540.000,1469.211
419580.000,4805560.000,1467.644
419580.000,4805550.000,1467.542
419580.000,4805620.000,1460.303
419580.000,4805690.000,1460.303
419580.000,4805680.000,1460.303
419580.000,4805700.000,1460.303
419580.000,4805707.616,1460.303
419580.000,4805296.307,1509.257
419580.000,4805640.000,1460.303
419580.000,4805630.000,1460.303
419580.000,4805650.000,1460.303
419580.000,4805670.000,1460.303
419580.000,4805660.000,1460.303
419580.000,4805510.000,1470.053
419580.000,4805360.000,1498.469
419580.000,4805350.000,1500.711
419580.000,4805370.000,1496.082
419580.000,4805390.000,1492.102
419580.000,4805380.000,1494.222
419580.000,4805310.000,1507.656
419580.000,4805300.000,1508.701
419580.000,4805320.000,1505.977
419580.000,4805340.000,1502.701
419580.000,4805330.000,1504.435
419580.000,4805400.000,1490.420
419580.000,4805470.000,1480.357
419580.000,4805460.000,1482.399
419580.000,4805480.000,1476.781
419580.000,4805500.000,1471.878
419580.000,4805490.000,1474.190
419580.000,4805420.000,1487.805
419580.000,4805410.000,1488.685
419580.000,4805430.000,1486.042
419580.000,4805450.000,1482.966
419580.000,4805440.000,1484.599
419581.924,4805708.076,1460.303
419588.293,4805298.293,1511.400
419589.957,4805710.000,1460.303
419589.992,4805710.008,1460.303
419590.000,4805590.000,1468.505
419590.000,4805580.000,1469.612
419590.000,4805600.000,1466.646
419590.000,4805620.000,1460.303
